userId,movieId,rating,timestamp,id
1,110,1.0,1425941529,197
11,110,3.5,1231676989,197
22,110,5.0,1111937009,197
24,110,5.0,979870012,197
29,110,3.0,1044020005,197
30,110,5.0,967986311,197
33,110,3.0,840451812,197
34,110,5.0,1498760804,197
49,110,4.0,1149446569,197
56,110,4.0,1410106323,197
58,110,5.0,837677000,197
63,110,3.5,1198545934,197
64,110,4.0,1085081459,197
65,110,5.0,939601017,197
67,110,3.0,1296082938,197
68,110,3.5,1177083408,197
75,110,0.5,1185734762,197
80,110,5.0,832629089,197
82,110,4.0,1438024484,197
83,110,0.5,1447815781,197
88,110,4.0,839148445,197
89,110,5.0,945182324,197
98,110,3.5,1115067721,197
103,110,5.0,842283224,197
109,110,3.5,1441633472,197
111,110,4.5,1490272744,197
115,110,5.0,938830686,197
120,110,3.0,1211653036,197
127,110,4.0,832049782,197
128,110,5.0,1462058899,197
131,110,4.0,852310728,197
132,110,3.0,979076162,197
139,110,2.0,1012851194,197
142,110,5.0,866389874,197
146,110,4.5,1423160174,197
150,110,4.0,945151780,197
151,110,4.0,1081453496,197
153,110,4.5,1088941735,197
157,110,3.0,833553290,197
158,110,5.0,1037511540,197
191,110,5.0,854287532,197
193,110,5.0,941540622,197
198,110,5.0,831208171,197
201,110,4.5,1278474494,197
210,110,3.0,999408991,197
212,110,3.0,1362785199,197
217,110,3.0,1193916482,197
224,110,4.0,833865121,197
225,110,4.0,836252974,197
227,110,5.0,837716444,197
229,110,3.0,1037826148,197
231,110,5.0,1177590422,197
236,110,5.0,993657566,197
250,110,4.0,995418969,197
255,110,4.0,1159238056,197
262,110,3.0,1446572162,197
267,110,4.0,1469186479,197
271,110,4.0,1048360674,197
273,110,5.0,1452876598,197
277,110,5.0,974952369,197
279,110,5.0,939838944,197
296,110,4.5,1111987616,197
298,110,5.0,836823260,197
306,110,1.0,846232105,197
308,110,4.0,979861595,197
312,110,3.0,1139520793,197
313,110,5.0,1447076423,197
318,110,5.0,837379381,197
319,110,2.0,945878881,197
325,110,3.5,1095176257,197
334,110,4.0,1446950703,197
340,110,3.5,1441775480,197
342,110,5.0,1178676264,197
343,110,4.0,847540185,197
346,110,3.0,947176570,197
348,110,3.5,1295633493,197
350,110,4.0,833127965,197
353,110,3.5,1063675907,197
354,110,5.0,1017729607,197
359,110,5.0,966996265,197
360,110,4.5,1493531596,197
362,110,4.0,938485595,197
364,110,4.0,944977077,197
368,110,4.5,1151897339,197
377,110,4.0,839510245,197
379,110,5.0,973447005,197
382,110,3.0,1017096148,197
390,110,5.0,975270655,197
392,110,4.5,1158704442,197
398,110,3.5,1091265191,197
411,110,5.0,974602662,197
412,110,4.0,1482850397,197
415,110,4.0,978555662,197
421,110,1.0,922234297,197
423,110,5.0,969753447,197
425,110,4.0,1322428446,197
427,110,4.0,1192820510,197
429,110,3.0,1415620188,197
431,110,5.0,836905999,197
434,110,3.5,1165614375,197
436,110,4.5,1229117775,197
442,110,3.0,907356135,197
443,110,4.0,1234304346,197
445,110,4.0,1005565477,197
446,110,5.0,953403011,197
447,110,5.0,1175117271,197
451,110,3.0,1045175246,197
452,110,5.0,975385849,197
455,110,5.0,845752649,197
457,110,4.0,1495308768,197
461,110,3.5,1062086225,197
467,110,5.0,993043748,197
468,110,4.0,1249942861,197
469,110,4.0,999491775,197
479,110,4.0,1366658297,197
480,110,3.0,1225280824,197
482,110,4.0,1090986734,197
483,110,3.0,1095880756,197
491,110,4.0,1114768084,197
492,110,2.5,1284690585,197
498,110,5.0,1001952932,197
503,110,4.0,1481653933,197
506,110,2.0,1262773157,197
507,110,5.0,995849396,197
517,110,3.5,1378238082,197
519,110,4.0,1433004482,197
523,110,4.0,902099287,197
524,110,5.0,847140190,197
527,110,3.5,1336608393,197
534,110,5.0,837356931,197
542,110,3.0,836802738,197
543,110,1.0,943800480,197
544,110,3.0,1488727142,197
545,110,5.0,1034687791,197
559,110,3.5,1499528854,197
567,110,3.0,1490189827,197
570,110,4.0,1332843034,197
576,110,5.0,976286948,197
578,110,4.5,1446396484,197
583,110,5.0,1113017860,197
588,110,3.0,831057000,197
595,110,5.0,839936614,197
600,110,3.0,1159841354,197
604,110,3.0,1183261378,197
606,110,4.0,1027092724,197
613,110,4.0,837532606,197
619,110,4.0,831608213,197
623,110,4.0,1472815042,197
632,110,5.0,841159469,197
633,110,4.0,965243272,197
638,110,5.0,840452747,197
651,110,3.5,1349306653,197
